Lead A;CCOC(=O)N1CCN(CC1)C2=NC=CC=C2F
Lead B;O=C(O)C1CCN(Cc2ccc(Cl)cc2)CC1
Lead C;COc1ccc(C2=NOC(C)(C)C2)cc1
Lead D;CC(C)(C)c1ccc(S(=O)(=O)NCC#N)cc1
Lead E;N#CC1(O)CCN(C(=O)c2ccccc2)CC1
Lead F;C[Si](C)(C)CCOc1ncc(F)cc1
Lead G;B1(OCCO1)c2ccc(NC(=O)C3CC3)cc2
Lead H;CCOP(=S)(OCC)Oc1ccc(Br)cc1
Lead I;C[Se]c1ccccc1C(=O)NCCO
Lead J;CC1(C)OC2CCC1N(C)C2=O
Lead K;[Na+].O=C([O-])C1=CC=CN1C2CC2
Lead L;[K+].[O-]S(=O)(=O)c1ccc(C(F)(F)F)cc1
Lead M;Cl[Pt](Cl)(N)N
Lead N;[Fe+2].C1=CC=[C-]C=C1.C1=CC=[C-]C=C1
Lead O;[Cu+2].N#CC#N.N#CC#N
Lead P;CCN(CC)C(=O)c1ccc2ncccc2c1
Lead Q;O=C1N(CC(F)(F)F)C(=O)C2(CC2)N1
Lead R;COC1=CC(C#CC2=CC=NO2)=CC=C1
Lead S;CC(C)N1CC(COC2=CC=CC=C2)OC1=O
Lead T;FC(F)(F)c1nnc(SCC2COC2)n1C
